,X20170615_lu.test2_01_01.RCCprocessed.csv,X20170615_lu.test2_01_02.RCCprocessed.csv,X20170615_lu.test2_01_03.RCCprocessed.csv,X20170615_lu.test2_01_04.RCCprocessed.csv,X20170615_lu.test2_01_05.RCCprocessed.csv,X20170615_lu.test2_01_06.RCCprocessed.csv,X20170615_lu.test2_01_07.RCCprocessed.csv,X20170615_lu.test2_01_08.RCCprocessed.csv,X20170615_lu.test2_01_09.RCCprocessed.csv,X20170615_lu.test2_01_10.RCCprocessed.csv,X20170615_lu.test2_01_11.RCCprocessed.csv,X20170615_lu.test2_01_12.RCCprocessed.csv,X20170615_lu.test3_01_01.RCCprocessed.csv,X20170615_lu.test3_01_02.RCCprocessed.csv,X20170615_lu.test3_01_03.RCCprocessed.csv,X20170615_lu.test3_01_04.RCCprocessed.csv,X20170615_lu.test3_01_05.RCCprocessed.csv,X20170615_lu.test3_01_06.RCCprocessed.csv,X20170615_lu.test3_01_07.RCCprocessed.csv,X20170615_lu.test3_01_08.RCCprocessed.csv,X20170615_lu.test3_01_09.RCCprocessed.csv,X20170615_lu.test3_01_10.RCCprocessed.csv,X20170615_lu.test3_01_11.RCCprocessed.csv,X20170615_lu.test3_01_12.RCCprocessed.csv,X20170616_lu.test4_01_01.RCCprocessed.csv,X20170616_lu.test4_01_02.RCCprocessed.csv,X20170616_lu.test4_01_03.RCCprocessed.csv,X20170616_lu.test4_01_04.RCCprocessed.csv,X20170616_lu.test4_01_05.RCCprocessed.csv,X20170616_lu.test4_01_06.RCCprocessed.csv,X20170616_lu.test4_01_07.RCCprocessed.csv,X20170616_lu.test4_01_08.RCCprocessed.csv,X20170616_lu.test4_01_09.RCCprocessed.csv,X20170616_lu.test4_01_10.RCCprocessed.csv,X20170616_lu.test4_01_11.RCCprocessed.csv,X20170616_lu.test4_01_12.RCCprocessed.csv,X20170616_lu.test5_01_01.RCCprocessed.csv,X20170616_lu.test5_01_02.RCCprocessed.csv,X20170616_lu.test5_01_03.RCCprocessed.csv,X20170616_lu.test5_01_04.RCCprocessed.csv,X20170616_lu.test5_01_05.RCCprocessed.csv,X20170616_lu.test5_01_06.RCCprocessed.csv,X20170616_lu.test5_01_07.RCCprocessed.csv,X20170616_lu.test5_01_08.RCCprocessed.csv,X20170616_lu.test5_01_09.RCCprocessed.csv,X20170616_lu.test5_01_10.RCCprocessed.csv,X20170616_lu.test5_01_11.RCCprocessed.csv,X20170616_lu.test5_01_12.RCCprocessed.csv
ENSORLG00000015001,109.8339721,217.1079593,137.5739655,139.7393887,97.15171142,167.996919,154.7430216,155.64175,113.6299724,88.79297515,98.34313127,132.6346192,158.951856,46.24946509,126.9333219,134.3635788,111.5258734,131.0982055,149.0774621,117.3575752,142.2149996,191.2527391,173.6929399,99.81794769,306.2050768,169.1726941,156.503088,196.7979605,158.3735668,171.9023282,221.5163911,165.8399532,121.3261937,189.9771755,329.8000611,179.1316588,137.2068975,173.1504257,246.0408201,237.2822494,178.1993821,178.1080182,196.6004705,191.1751611,218.6289536,210.442764,191.7615207,194.644662
ENSORLG00000002102,5868.142416,3955.560012,6209.082047,3807.136363,6568.911015,5413.41127,5772.377082,4770.978379,5420.834173,2722.577147,6134.651643,7431.871481,5271.781954,4309.979987,4609.999697,3625.856749,4899.627247,4455.982741,6255.442368,3278.671811,5599.040136,6560.746583,5127.660497,5978.295308,7439.799744,5168.412417,7180.221009,5379.041089,5709.504235,4800.714008,4909.885498,6822.482956,6539.841954,8182.628522,10211.034,5929.231075,7215.711798,4965.427083,5229.772509,6577.237139,4692.624287,4605.143154,4315.979055,4250.498875,4715.943862,4512.21337,4664.155841,5399.514524
ENSORLG00000018575,268.1439625,268.1448474,331.0881673,149.1223488,172.9926408,157.1143166,148.0983041,87.55959734,248.9737583,150.9471739,165.7251798,90.63788729,154.3827495,151.5715989,323.6544264,292.862946,238.2697333,128.396841,224.0491184,161.5923826,249.9571916,180.466128,142.2300975,106.4007891,71.78705797,121.0104617,219.1682293,92.37254435,56.10513147,142.6369224,70.42203124,180.7651617,101.3619145,436.5371142,258.0367306,385.1500326,120.5359015,173.1504257,199.7522905,152.8774037,112.4176233,117.8995193,109.4229237,116.3754328,128.8231338,106.4770296,105.9363595,119.1535011
ENSORLG00000019686,675.2267951,606.264231,863.2522223,410.5048085,771.2933055,516.2401953,846.7428916,834.8799708,344.0023739,624.8729393,862.0063477,819.9469871,748.3665858,758.0818179,492.6961794,482.9119503,526.9640808,814.5434194,756.5008817,571.5015978,348.1927196,606.5372658,373.9110283,333.508817,821.0997868,63.21578286,548.1602212,467.3547207,444.7251856,386.5153039,799.23012,456.8815195,390.8439628,426.2637834,516.5769435,664.8286071,333.9246503,613.5405382,341.9242029,574.9016323,342.2896733,378.574952,358.5016288,381.8733694,386.1995894,419.8809827,398.1936189,431.8387829
ENSORLG00000003850,1639.0041,1760.973824,2556.501488,1548.523826,1951.041095,1452.144001,1617.530127,1582.200344,1783.829883,1984.496037,1732.357808,1667.051798,1840.383023,1448.123384,1180.725771,1193.529966,991.6915671,1265.671288,1423.59562,878.1962625,1603.072368,1779.581221,1609.542659,1571.082998,1762.209076,1681.466791,1681.35486,1557.492778,1884.664755,1764.428159,1568.033775,1658.360806,1921.438701,2049.450046,1935.184208,1402.581555,2097.716027,1473.514931,1395.539306,1278.914777,1321.733941,1329.253466,1237.941057,1235.083456,1408.179784,1327.446597,1331.88103,1552.592171
ENSORLG00000010177,33.28848219,115.0341831,89.19541509,37.86725048,130.8587911,48.28829269,44.63055949,68.55992683,56.03687202,104.3315248,30.96108277,18.93614995,53.86240803,129.7808126,69.59752266,53.98712241,48.15394345,79.77228038,64.92560294,43.63289623,85.17501561,80.68997552,105.0467382,76.77800283,21.60372843,53.58333638,67.72747116,30.6666166,60.19586888,57.27948895,12.65065835,113.6017234,41.46907694,87.2438677,14.5540023,34.1131387,123.8701007,72.58890396,48.76351531,62.71768211,28.67331791,44.69145821,74.93510298,53.4943426,61.59419604,74.83528434,67.54089269,86.09819988
ENSORLG00000012679,54.16452489,76.75651705,185.952516,63.33528503,282.5406498,102.7013046,76.90490184,84.39298559,84.83342222,104.3315248,59.03693631,73.22460823,108.6916852,191.5213738,97.27687403,486.6678595,241.7903961,168.9173083,48.09523111,81.96972931,96.26612361,218.2192668,105.0467382,126.1493132,82.7861439,149.9078012,78.17166138,102.9205662,99.05787429,225.5555721,65.97807947,188.227766,41.46907694,189.9771755,83.43398466,112.3771019,113.8675031,197.4238965,165.5869472,127.9396084,80.61906098,66.5854578,83.55705815,69.5228558,68.11640642,78.35103381,65.73404719,62.87015038
ENSORLG00000009400,21.11079062,44.85846199,40.81686464,13.73963881,97.15171142,48.28829269,32.29036976,49.56025631,56.03687202,11.10022671,36.57625348,16.88752888,40.15508873,53.51306053,34.99833343,27.69575818,19.98864125,33.84908419,54.21536632,17.09201179,59.82391161,69.90336444,47.84157013,50.44663728,22.97861417,53.58333638,20.72861519,41.21463844,29.51533829,23.13651555,17.09461011,38.97568072,21.50479774,56.42387536,20.00032649,19.15091044,13.84152714,30.97723979,32.23189759,33.94330288,28.91605502,43.66517698,33.74131713,35.82187933,37.5121885,43.695789,44.95532396,61.08337734
ENSORLG00000006142,45.46617376,70.37690604,355.2774426,35.18640474,97.15171142,48.28829269,63.61546675,59.06009157,58.91652704,81.0237003,42.19142419,169.5097984,49.29330159,147.9398012,77.50590876,35.20757653,44.63328067,41.95317763,54.21536632,105.5616266,85.17501561,102.2631977,85.0249294,99.81794769,49.10144325,63.21578286,83.39375649,27.50221005,68.37734371,103.6163814,57.09017595,38.97568072,38.14169707,46.15054458,170.8955437,38.71690124,87.19390952,65.6536266,32.23189759,47.37134652,33.77079737,50.84914559,44.27926235,56.78224274,60.08907057,61.27453637,58.05495382,65.10361668
ENSORLG00000019556,88.95792938,89.51573908,65.00613987,61.99486215,156.1391009,15.64048553,65.51395748,54.31017394,107.8706624,73.25442546,53.4217656,27.13063422,67.56972732,46.24946509,67.62042613,105.0674872,55.195269,55.46000004,66.45563674,25.93897327,175.4883236,126.5330726,119.3480303,159.0635202,45.6642289,111.3780153,88.6158516,74.96830832,113.3754552,47.52435369,132.6373559,83.7513063,88.05239505,87.2438677,59.40608384,106.6223988,100.5307063,129.8049422,75.21410366,97.24693718,46.39312746,65.90127031,101.7589635,88.0172941,99.72404132,122.5490272,95.09528654,129.4274461
